dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,189,0.5,0.01,1.334427833557129,27.724136828356677,0.8177013397216797,0.1401064544916153
CelebA,190,0.5,0.01,1.2370349168777466,30.096616637724424,0.7996399402618408,0.12099716067314148
CelebA,191,0.5,0.01,1.4423339366912842,27.199603855726373,0.8491159081459045,0.09596579521894455
CelebA,192,0.5,0.01,1.1764732599258423,29.499163820754216,0.8367550373077393,0.18027786910533905
CelebA,193,0.5,0.01,1.4012960195541382,25.838220741387616,0.8124966621398926,0.20715324580669403
CelebA,194,0.5,0.01,1.3046904802322388,28.162880937766225,0.8553075194358826,0.16685274243354797
CelebA,195,0.5,0.01,1.3177870512008667,28.30418733859392,0.8044376373291016,0.18655377626419067
CelebA,196,0.5,0.01,1.1607247591018677,24.6844682198817,0.8086236119270325,0.28237542510032654
CelebA,197,0.5,0.01,1.1998414993286133,29.285322911216124,0.806476891040802,0.1344103366136551
CelebA,198,0.5,0.01,1.3652241230010986,27.47355549591674,0.8307342529296875,0.11962950974702835
CelebA,199,0.5,0.01,1.326553463935852,27.772959951498457,0.8176536560058594,0.1035633385181427
CelebA,200,0.5,0.01,1.0860217809677124,29.194431100702964,0.8573939204216003,0.12250174582004547
CelebA,201,0.5,0.01,1.335912823677063,26.507794776386287,0.8337810039520264,0.11407838761806488
CelebA,202,0.5,0.01,1.5944221019744873,26.519499119520123,0.8002200126647949,0.17632029950618744
CelebA,203,0.5,0.01,1.2437217235565186,28.833909977066483,0.9003327488899231,0.06604953110218048
CelebA,204,0.5,0.01,1.2333064079284668,29.852334061636103,0.7650194764137268,0.07027022540569305
CelebA,205,0.5,0.01,1.224408745765686,26.361890906579617,0.7570675015449524,0.30422502756118774
CelebA,206,0.5,0.01,1.4380390644073486,28.79596073008798,0.8325387835502625,0.1568617820739746
CelebA,207,0.5,0.01,1.3035144805908203,27.365828065366276,0.8580875396728516,0.14550858736038208
CelebA,208,0.5,0.01,1.2823269367218018,28.731564623070884,0.8464181423187256,0.18688225746154785
CelebA,209,0.5,0.01,1.2239490747451782,30.148333893024613,0.880862295627594,0.0799083262681961
CelebA,210,0.5,0.01,1.3382855653762817,30.875186414943542,0.8819463849067688,0.09542400389909744
CelebA,211,0.5,0.01,1.4306190013885498,27.75643651164572,0.8762075304985046,0.05680428072810173
CelebA,212,0.5,0.01,0.9715192914009094,30.06999077024794,0.8139144778251648,0.17473728954792023
CelebA,213,0.5,0.01,1.5752884149551392,27.93413941023696,0.8201999068260193,0.1310316026210785
CelebA,214,0.5,0.01,1.3672748804092407,27.605991975760634,0.8199484348297119,0.10440682619810104
CelebA,215,0.5,0.01,1.5051106214523315,28.48647323468249,0.7805750966072083,0.12702803313732147
CelebA,216,0.5,0.01,1.1869343519210815,30.00362382399878,0.8805651664733887,0.07360944896936417
CelebA,217,0.5,0.01,1.7171071767807007,24.933596310568156,0.8364975452423096,0.08987562358379364
